GroupName,CountryCode,CountryName
South Asia,AFG,Afghanistan
Europe & Central Asia,ALB,Albania
Middle East & North Africa,DZA,Algeria
Sub-Saharan Africa,AGO,Angola
Latin America & Caribbean,ARG,Argentina
Europe & Central Asia,ARM,Armenia
East Asia & Pacific,AUS,Australia
Europe & Central Asia,AUT,Austria
Europe & Central Asia,AZE,Azerbaijan
South Asia,BGD,Bangladesh
Europe & Central Asia,BLR,Belarus
Europe & Central Asia,BEL,Belgium
Sub-Saharan Africa,BEN,Benin
South Asia,BTN,Bhutan
Latin America & Caribbean,BOL,Bolivia
Europe & Central Asia,BIH,Bosnia and Herzegovina
Sub-Saharan Africa,BWA,Botswana
Latin America & Caribbean,BRA,Brazil
Europe & Central Asia,BGR,Bulgaria
Sub-Saharan Africa,BFA,Burkina Faso
Sub-Saharan Africa,BDI,Burundi
Sub-Saharan Africa,CPV,Cabo Verde
East Asia & Pacific,KHM,Cambodia
Sub-Saharan Africa,CMR,Cameroon
North America,CAN,Canada
Sub-Saharan Africa,CAF,Central African Republic
Sub-Saharan Africa,TCD,Chad
Latin America & Caribbean,CHL,Chile
East Asia & Pacific,CHN,China
Latin America & Caribbean,COL,Colombia
Sub-Saharan Africa,COM,Comoros
Sub-Saharan Africa,COG,"Congo, Rep."
Latin America & Caribbean,CRI,Costa Rica
Sub-Saharan Africa,CIV,Cote d'Ivoire
Europe & Central Asia,HRV,Croatia
Europe & Central Asia,CYP,Cyprus
Europe & Central Asia,CZE,Czech Republic
Europe & Central Asia,DNK,Denmark
Latin America & Caribbean,DOM,Dominican Republic
Latin America & Caribbean,ECU,Ecuador
Middle East & North Africa,EGY,"Egypt, Arab Rep."
Latin America & Caribbean,SLV,El Salvador
Sub-Saharan Africa,GNQ,Equatorial Guinea
Sub-Saharan Africa,ERI,Eritrea
Europe & Central Asia,EST,Estonia
Sub-Saharan Africa,SWZ,Eswatini
Sub-Saharan Africa,ETH,Ethiopia
East Asia & Pacific,FJI,Fiji
Europe & Central Asia,FIN,Finland
Europe & Central Asia,FRA,France
Sub-Saharan Africa,GAB,Gabon
Sub-Saharan Africa,GMB,"Gambia, The"
Europe & Central Asia,GEO,Georgia
Europe & Central Asia,DEU,Germany
Sub-Saharan Africa,GHA,Ghana
Europe & Central Asia,GRC,Greece
Latin America & Caribbean,GTM,Guatemala
Sub-Saharan Africa,GIN,Guinea
Sub-Saharan Africa,GNB,Guinea-Bissau
Latin America & Caribbean,HTI,Haiti
Latin America & Caribbean,HND,Honduras
East Asia & Pacific,HKG,"Hong Kong SAR, China"
Europe & Central Asia,HUN,Hungary
Europe & Central Asia,ISL,Iceland
South Asia,IND,India
East Asia & Pacific,IDN,Indonesia
Middle East & North Africa,IRN,"Iran, Islamic Rep."
Middle East & North Africa,IRQ,Iraq
Europe & Central Asia,IRL,Ireland
Middle East & North Africa,ISR,Israel
Europe & Central Asia,ITA,Italy
Latin America & Caribbean,JAM,Jamaica
East Asia & Pacific,JPN,Japan
Middle East & North Africa,JOR,Jordan
Europe & Central Asia,KAZ,Kazakhstan
Sub-Saharan Africa,KEN,Kenya
East Asia & Pacific,KOR,"Korea, Rep."
Middle East & North Africa,KWT,Kuwait
Europe & Central Asia,KGZ,Kyrgyz Republic
East Asia & Pacific,LAO,Lao PDR
Europe & Central Asia,LVA,Latvia
Middle East & North Africa,LBN,Lebanon
Sub-Saharan Africa,LSO,Lesotho
Sub-Saharan Africa,LBR,Liberia
Middle East & North Africa,LBY,Libya
Europe & Central Asia,LTU,Lithuania
Sub-Saharan Africa,MDG,Madagascar
Sub-Saharan Africa,MWI,Malawi
East Asia & Pacific,MYS,Malaysia
South Asia,MDV,Maldives
Sub-Saharan Africa,MLI,Mali
Sub-Saharan Africa,MRT,Mauritania
Sub-Saharan Africa,MUS,Mauritius
Latin America & Caribbean,MEX,Mexico
Europe & Central Asia,MDA,Moldova
East Asia & Pacific,MNG,Mongolia
Europe & Central Asia,MNE,Montenegro
Middle East & North Africa,MAR,Morocco
Sub-Saharan Africa,MOZ,Mozambique
East Asia & Pacific,MMR,Myanmar
Sub-Saharan Africa,NAM,Namibia
South Asia,NPL,Nepal
Europe & Central Asia,NLD,Netherlands
East Asia & Pacific,NZL,New Zealand
Latin America & Caribbean,NIC,Nicaragua
Sub-Saharan Africa,NER,Niger
Sub-Saharan Africa,NGA,Nigeria
Europe & Central Asia,NOR,Norway
Middle East & North Africa,OMN,Oman
South Asia,PAK,Pakistan
Latin America & Caribbean,PAN,Panama
Latin America & Caribbean,PRY,Paraguay
Latin America & Caribbean,PER,Peru
East Asia & Pacific,PHL,Philippines
Europe & Central Asia,POL,Poland
Europe & Central Asia,PRT,Portugal
Middle East & North Africa,QAT,Qatar
Europe & Central Asia,ROU,Romania
Europe & Central Asia,RUS,Russian Federation
Sub-Saharan Africa,RWA,Rwanda
Middle East & North Africa,SAU,Saudi Arabia
Sub-Saharan Africa,SEN,Senegal
Europe & Central Asia,SRB,Serbia
Sub-Saharan Africa,SYC,Seychelles
Sub-Saharan Africa,SLE,Sierra Leone
East Asia & Pacific,SGP,Singapore
Europe & Central Asia,SVK,Slovak Republic
Europe & Central Asia,SVN,Slovenia
Sub-Saharan Africa,ZAF,South Africa
Europe & Central Asia,ESP,Spain
South Asia,LKA,Sri Lanka
Sub-Saharan Africa,SDN,Sudan
Europe & Central Asia,SWE,Sweden
Europe & Central Asia,CHE,Switzerland
Europe & Central Asia,TJK,Tajikistan
Sub-Saharan Africa,TZA,Tanzania
East Asia & Pacific,THA,Thailand
East Asia & Pacific,TLS,Timor-Leste
Sub-Saharan Africa,TGO,Togo
East Asia & Pacific,TON,Tonga
Latin America & Caribbean,TTO,Trinidad and Tobago
Middle East & North Africa,TUN,Tunisia
Europe & Central Asia,TUR,Turkey
Sub-Saharan Africa,UGA,Uganda
Europe & Central Asia,UKR,Ukraine
Middle East & North Africa,ARE,United Arab Emirates
Europe & Central Asia,GBR,United Kingdom
North America,USA,United States
Latin America & Caribbean,URY,Uruguay
Europe & Central Asia,UZB,Uzbekistan
Latin America & Caribbean,VEN,"Venezuela, RB"
East Asia & Pacific,VNM,Vietnam
Middle East & North Africa,YEM,"Yemen, Rep."
Sub-Saharan Africa,ZMB,Zambia
Sub-Saharan Africa,ZWE,Zimbabwe
